Site ID,Name
10.238.129.213,AN0003-ATN950C-CSG
10.237.33.220,HRV0715-ATN-950C-ASG-1
10.237.33.219,HRV0411-ATN-950C-ASG-1
10.237.33.35,HIM0050-ATN-910C-ASG-1
10.237.33.37,HIM0412-ATN-910C-CSG
10.237.33.36,HIM0055-ATN-910C-CSG
10.238.97.142,HBR0007-ATN-950C-CSG
10.238.97.144,HBR0015-ATN-950C-CSG
10.238.97.143,HBR0013-ATN-910C-CSG
10.238.1.28,HKD0099-ATN-950C-ASG-1
10.238.1.25,HKD0015-ATN950C-CSG
10.238.1.29,HKD0007-ATN-950C-ASG-1
10.238.1.31,HKD0025-ATN-950C-ASG-1
10.238.1.30,HKD0031-ATN-910C-ASG-1
10.238.1.26,HKD0444-ATN910C-CSG
10.238.1.22,HKD0061-CX600-X2-M8-ASG
10.238.1.21,HKD0086-CX600_X2-CSG
10.238.1.20,HKD0089-ATN-950C-ASG-1
10.237.33.28,HAK0006-ATN-910C-ASG-1
10.237.33.27,HAK0032-ATN-910C-ASG-1
10.238.129.146,HDL0110-ATN-950C-ASG-1
10.238.1.23,HKD0018-ATN950C-CSG
10.237.33.221,HRV0091-ATN-950C-ASG-1
10.237.33.25,HAK0392-ATN-910C-ASG-1
10.237.33.222,HRV0519-ATN-910C-CSG
10.237.33.223,HRV0108-ATN-910C-CSG
10.237.33.225,HRV0525-ATN-950C-ASG-1
10.237.33.224,HRV0101-ATN-950C-ASG-1
10.238.33.23,KN0020-ATN-910C-CSG
10.238.33.19,HKN0013-ATN-910C-ASG-1
10.238.33.28,KN0094-ATN-910C-CSG
10.238.33.26,HKN0007-ATN-950C-ASG-1
10.238.33.24,KN0522-ATN-910C-CSG
10.238.97.120,HJG0008-CX600-X2M8-CSG
10.238.33.30,KN0320-ATN-910C-CSG
10.237.1.41,HAB0081-ATN910c-CSG-1
10.238.65.20,HEN0052-ATN-950C-ASG-1
10.238.1.15,HKD0134-ATN-950C-ASG-1
10.238.1.14,HKD0072-ATN-950C-ASG-1
10.237.33.216,HRVB01-ATN-950C-ASG-1
10.237.33.215,HBYB01-ATN950C-ASG-1
10.238.1.13,HKD0027-ATN-950C-ASG-1
10.238.1.131,HKD0091-ZARIA-ATN-950C-ASG-1
10.238.1.130,HZM0012-ATN950C_X2-CSG
10.237.33.214,HBY0007-ATN-950C-ASG-1
10.237.33.213,HRVB03-CX600-X2-M8-ASG-1
10.237.33.212,HBY0011-ATN-950C-ASG-1
10.237.33.211,HDLB02-ATN950C-ASG-PAT-01
10.238.1.128,HSK0004-CX600_X2-CSG
10.238.65.137,HAI0006-ATN-950C-ASG-1
10.237.33.11,HAK0029-ATN-950C-CSG
10.237.33.8,HAK0009-ATN950C-ASG-1
10.237.33.10,HAK0028-ATN-950C-CSG
10.237.33.19,HAK0093-ATN950C-CSG
10.237.33.32,HAK0391-ATN-950C-CSG
